,name,host_name,host_location,host_response_time,host_is_superhost,host_listings_count,host_identity_verified,latitude,property_type,accommodates,bedrooms,price,maximum_nights,maximum_minimum_nights,maximum_maximum_nights,maximum_nights_avg_ntm,availability_60,availability_365,number_of_reviews_ltm,last_review,review_scores_cleanliness,review_scores_location,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms
2844,Studio situé au coeur du centre ville,Justine,"Lyon, France",,f,1.0,f,45.76393,Entire rental unit,2,,,1125,365,1125,1125.0,0,0,0,,,,t,1,0
2845,Location d’appartement,Gabriel,"Chamonix, France",,f,1.0,f,45.76997,Entire rental unit,2,,,1125,365,1125,1125.0,0,0,0,,,,t,1,0
2846,Appartement 33m² - Plein coeur de la Part-Dieu,Roeum,"Lyon, France",,f,1.0,t,45.75819,Entire rental unit,2,,,1125,365,1125,1125.0,0,0,0,2017-12-13,5.0,5.0,f,1,0
2847,Studette zen 1 p. - Lyon Cx-Rousse - Bail mobilité,Catherine,"Lyon, France",,f,1.0,t,45.77809,Entire guesthouse,1,1.0,27.0,120,30,1125,1125.0,12,13,3,2024-08-31,4.8,4.77,f,1,0
2848,Appartement plein centre de Lyon vue sur Fourvière,Susie,"Mary, France",,f,1.0,t,45.76417,Entire rental unit,4,1.0,,1125,365,1125,1125.0,0,0,0,,,,f,1,0
2849,Appartement Lyon centre T1,Lucile,"Lyon, France",,f,2.0,f,45.76897,Entire rental unit,2,1.0,,1125,365,1125,1125.0,0,0,0,2018-07-22,5.0,5.0,f,2,0
2850,Appart Haussmannien 95m2 Lyon 2 Presqu’île,Charlotte,"Lyon, France",,f,1.0,t,45.75278,Private room in rental unit,2,,,25,1,25,25.0,0,0,0,2019-02-04,4.17,5.0,f,0,0
2851,Chambre cosy - Idéale pour la fête des lumières!,Théophile,"Maisons-Alfort, France",,f,1.0,f,45.76852,Private room in rental unit,2,,,1125,1,1125,1125.0,0,0,0,,,,f,0,0
2852,Appartement Quais de Saône - Proximité Vieux Lyon,Mathilde,"Paris, France",,f,1.0,t,45.76658,Entire rental unit,3,2.0,,1125,365,1125,1125.0,0,0,0,2019-11-02,5.0,4.67,f,1,0
2853,Chambre spacieuse avec belle vue sur la Saône,Alix,"Lyon, France",,f,1.0,t,45.76611,Private room in rental unit,2,,,2,2,2,2.0,0,0,0,,,,t,0,0
2854,Appart. 55m2 proche centre-box privé-Vue Saone,Julia&Nicolas,"Lyon, France",within an hour,f,1.0,t,45.77243,Entire loft,4,2.0,51.0,15,1,1125,1125.0,10,109,80,2024-11-29,4.58,4.71,t,1,0
2855,T2 au coeur de Lyon 01,Felpor,"Gevrey-Chambertin, France",,f,1.0,t,45.77163,Entire rental unit,2,1.0,,1125,365,1125,1125.0,0,0,0,2017-12-31,5.0,5.0,f,1,0
2856,Chambre dans grand T3 au coeur de la presque île,Mael,"Dijon, France",,f,1.0,f,45.76475,Private room in rental unit,2,,,1125,1,1125,1125.0,0,0,0,2018-04-07,4.5,5.0,f,0,0
2857,Coquet T2 gorgé de soleil,Alassane,"Lyon, France",,f,1.0,f,45.76001,Entire rental unit,4,1.0,,1125,365,1125,1125.0,0,0,0,2017-12-10,4.0,5.0,t,1,0
2858,Lyon Centre : Appartement avec balcon,Lucas,,,f,1.0,f,45.77143,Entire rental unit,4,1.0,,1125,365,1125,1125.0,0,0,0,,,,f,1,0
2859,Chambre simple au centre de Lyon,Antoine,"Lyon, France",,f,1.0,t,45.76935,Private room in rental unit,2,,,2,1,2,2.0,0,0,0,2017-12-10,5.0,5.0,t,0,0
2860,Logement partagé proche des berges du rhône.,Georges,"Lyon, France",,f,1.0,f,45.75081,Shared room in rental unit,2,,,1125,7,1125,1125.0,0,0,0,2017-12-16,4.0,4.0,f,0,1
2861,T2 résidencre piscine proche centre lyon,Denitsa,,,f,1.0,f,45.75398,Entire condo,2,1.0,,3,1,3,3.0,0,0,0,,,,f,1,0
2862,FÊTE DES LUMIÈRES Appartement 80m2 centre Ville,Gaël,"Genas, France",,f,1.0,f,45.76099,Private room in rental unit,2,,,3,1,3,3.0,0,0,0,2017-12-10,5.0,4.0,t,0,0
2863,Appartement T2 près de Jean Mace,Mickael,"Lyon, France",within a few hours,t,2.0,t,45.74169,Entire rental unit,4,1.0,47.0,7,4,1125,1125.0,0,10,1,2024-12-09,4.59,4.65,f,1,0
2864,Grand appartement lumineux à deux pas de l'Opéra,Felix,"Marcq-en-Barœul, France",,f,1.0,f,45.76788,Entire rental unit,4,1.0,,1125,365,1125,1125.0,0,0,0,2018-01-01,5.0,5.0,f,1,0
2865,Chambre spacieuse proche de toutes commodités,Mathieu,,,f,1.0,f,45.74535,Private room in rental unit,4,,,3,1,3,3.0,0,0,0,2017-12-17,5.0,4.25,f,0,0
2866,Appartement cosy et calme dans résidence privée,Thibault,"Lyon, France",,f,1.0,t,45.74329,Entire rental unit,4,1.0,,1125,365,1125,1125.0,0,0,0,,,,t,1,0
2867,Appartement 4 pers 72m² parfait pour les lumières,Simon,"Lyon, France",,f,3.0,t,45.75008,Entire rental unit,4,2.0,,1125,365,1125,1125.0,0,0,0,,,,f,2,0
